col_name,feat_imp,norm_feat_imp,direction
s_no_teammember,0.030119631177216336,1.0,-
s_no_issue,0.01811265615219096,0.6013571695357306,-
d_most_prefer_type_Task,0.015316713461872402,0.5085292503003345,+
i_type_Task,0.014564970178657537,0.48357066834453966,+
s_plan_duration,0.013388742156048189,0.4445187949770101,+
d_developer_activeness,0.0065869358074684805,0.21869244575780517,+
d_most_prefer_type_New Feature,0.004579265612372405,0.15203591257240695,+
d_most_prefer_type_Bug,0.004192375143855739,0.13919078620813308,-
d_no_comment,0.004042998157925245,0.13423133019582015,+
i_priority_Trivial,0.0033426027692350533,0.11097754649012863,-
i_priority_Critical,0.003338443200515995,0.11083944490798824,-
i_type_New Feature,0.0031700807280739805,0.10524965293970642,+
d_most_prefer_type_Story,0.00204049929332567,0.0677464900323608,+
i_no_comments,0.00201357373939102,0.06685253639208456,-
i_type_Bug,0.0016820061910601746,0.05584418285747502,+
i_type_Story,0.0016773574579419636,0.05568984055856508,+
i_priority_Blocker,0.0016166245858902943,0.053673452253730526,+
i_type_Improvement,0.0012167840518873042,0.04039837157128694,+
d_most_prefer_type_Na,0.0011871006131460849,0.03941285356920486,-
i_fog_index,0.0011217429427371934,0.037242917621970205,+
i_no_change_description,0.0009078204520803082,0.03014049032469624,+
i_priority_Minor,0.0006857536425837608,0.022767664004547692,+
d_most_prefer_type_Improvement,0.0005379338766299803,0.01785990915575668,-
d_no_distinct_action,0.0004306947397438074,0.014299469246808099,-
i_no_change_fix,0.00040533352915698095,0.013457453272654648,-
i_priority_Major,0.00038860251017364713,0.012901967752765885,+
i_no_component,0.00018377264466471561,0.006101424137083339,-
i_no_change_priority,0.00010810283934623508,0.0035891156405662857,+
i_type_Epic,0.0,0.0,+
d_most_prefer_type_Epic,0.0,0.0,+
d_most_prefer_type_Technical task,0.0,0.0,+
